TRIP_CODE,SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATELOCAL,BIOMASS_MGM3,SAMPLETYPE
NRSDAR20110627,46,Darwin,-12.4,130.76805,2011-06-27 13:48:00,5.56585,BPZ
NRSDAR20160530,706,Darwin,-12.4,130.76805,2016-05-31 07:50:00,29.30428,BPZ
NRSDAR20160723,722,Darwin,-12.4,130.76805,2016-07-24 08:00:00,25.98153,BPZ
NRSDAR20190529,896,Darwin,-12.4,130.76805,2019-05-30 08:39:00,93.93976,BPZ
NRSDAR20200511,1062,Darwin,-12.4,130.76805,2020-05-12 08:20:00,205.66809,BPZ
NRSKAI20101213,85,Kangaroo Island,-35.83217,136.44733,2010-12-14 08:30:00,4.15517,BPZ
NRSKAI20120215,97,Kangaroo Island,-35.83217,136.44733,2012-02-15 11:50:00,1.61256,BPZ
NRSKAI20130220,393,Kangaroo Island,-35.83217,136.44733,2013-02-21 07:20:00,4.10212,BZ
NRSKAI20130827,454,Kangaroo Island,-35.83217,136.44733,2013-08-28 08:55:00,1.71865,BPZ
NRSKAI20150629,640,Kangaroo Island,-35.83217,136.44733,2015-06-30 07:35:00,0.43496,BFPZ
NRSKAI20161118,739,Kangaroo Island,-35.83217,136.44733,2016-11-18 12:45:00,11.22427,BFPZ
NRSKAI20170518,769,Kangaroo Island,-35.83217,136.44733,2017-05-18 11:15:00,5.59445,BFPZ
NRSMAI20110407,194,Maria Island,-42.59667,148.23333,2011-04-07 10:30:00,4.26568,BPZ
NRSMAI20110725,197,Maria Island,-42.59667,148.23333,2011-07-25 12:15:00,0.25638,BPZ
NRSMAI20110812,29,Maria Island,-42.59667,148.23333,2011-08-12 10:55:00,0.65421,BPZ
NRSMAI20111005,77,Maria Island,-42.59667,148.23333,2011-10-05 12:24:00,11.93507,BPZ
NRSMAI20130807,446,Maria Island,-42.59667,148.23333,2013-08-07 11:30:00,2.81431,BPZ
NRSMAI20131117,457,Maria Island,-42.59667,148.23333,2013-11-18 10:50:00,8.51622,BPZ
NRSMAI20131217,458,Maria Island,-42.59667,148.23333,2013-12-17 11:05:00,19.56467,BPZ
NRSMAI20170601,764,Maria Island,-42.59667,148.23333,2017-06-02 09:00:00,11.73114,BFPZ
NRSMAI20171015,794,Maria Island,-42.59667,148.23333,2017-10-16 09:50:00,18.24268,BPZ
NRSMAI20190320,891,Maria Island,-42.59667,148.23333,2019-03-21 09:35:00,15.19202,BFPZ
NRSMAI20190624,898,Maria Island,-42.59667,148.23333,2019-06-24 10:10:00,24.32986,BFPZ
NRSMAI20190828,916,Maria Island,-42.59667,148.23333,2019-08-29 09:20:00,4.80939,BFPZ
NRSMAI20191015,999,Maria Island,-42.59667,148.23333,2019-10-16 09:40:00,32.86418,BPZ
NRSNIN20130806,437,Ningaloo,-21.99,113.779,2013-08-06 14:03:00,26.50823,BPZ
NRSNSI20091015,82,North Stradbroke,-27.345,153.562,2009-10-15 10:10:00,29.14568,BPZ
NRSNSI20100817,182,North Stradbroke,-27.345,153.562,2010-08-18 08:25:00,17.76517,BPZ
NRSNSI20110220,190,North Stradbroke,-27.345,153.562,2011-02-21 09:40:00,7.1305,BPZ
NRSNSI20111013,78,North Stradbroke,-27.345,153.562,2011-10-13 10:30:00,10.08815,BPZ
NRSNSI20111220,94,North Stradbroke,-27.345,153.562,2011-12-21 09:15:00,6.10818,BPZ
NRSNSI20120620,298,North Stradbroke,-27.345,153.562,2012-06-20 10:20:00,7.7156,BPZ
NRSNSI20121017,302,North Stradbroke,-27.345,153.562,2012-10-17 10:20:00,21.71942,BPZ
NRSNSI20130326,395,North Stradbroke,-27.345,153.562,2013-03-26 11:10:00,8.80864,BPZ
NRSNSI20131121,450,North Stradbroke,-27.345,153.562,2013-11-22 09:55:00,14.64035,BPZ
NRSNSI20140623,487,North Stradbroke,-27.345,153.562,2014-06-23 10:20:00,10.12672,BPZ
NRSNSI20150624,632,North Stradbroke,-27.345,153.562,2015-06-24 10:30:00,8.95009,BFPZ
NRSNSI20150731,636,North Stradbroke,-27.345,153.562,2015-07-31 10:15:00,14.05525,BFPZ
NRSNSI20160822,711,North Stradbroke,-27.345,153.562,2016-08-22 10:50:00,17.55942,BFPZ
NRSNSI20170717,771,North Stradbroke,-27.345,153.562,2017-07-17 11:05:00,9.73451,BFPZ
NRSNSI20170829,785,North Stradbroke,-27.345,153.562,2017-08-29 11:50:00,10.22317,BFPZ
NRSNSI20180417,813,North Stradbroke,-27.345,153.562,2018-04-17 10:15:00,9.41303,BFPZ
NRSNSI20200228,1004,North Stradbroke,-27.345,153.562,2020-02-28 10:30:00,10.6861,BFPZ
NRSNSI20200625,1072,North Stradbroke,-27.345,153.562,2020-06-25 10:35:00,14.17099,BPZ
NRSNSI20201022,1087,North Stradbroke,-27.345,153.562,2020-10-22 10:05:00,7.16908,BPZ
NRSPHB20100817,183,Port Hacking,-34.11923,151.22667,2010-08-18 09:30:00,66.4368,BPZ
NRSPHB20110914,199,Port Hacking,-34.11923,151.22667,2011-09-15 09:43:00,1.45696,BPZ
NRSPHB20111117,19,Port Hacking,-34.11923,151.22667,2011-11-18 09:36:00,4.8589,BPZ
NRSPHB20120628,304,Port Hacking,-34.11923,151.22667,2012-06-28 10:00:00,3.88994,BZ
NRSPHB20130227,409,Port Hacking,-34.11923,151.22667,2013-02-28 08:03:00,1.79998,BPZ
NRSPHB20130611,421,Port Hacking,-34.11923,151.22667,2013-06-12 09:55:00,(null),PZ
NRSPHB20131202,477,Port Hacking,-34.11923,151.22667,2013-12-03 09:30:00,3.12964,BPZ
NRSPHB20140427,513,Port Hacking,-34.11923,151.22667,2014-04-28 09:38:00,5.86675,BPZ
NRSPHB20140716,516,Port Hacking,-34.11923,151.22667,2014-07-16 10:00:00,5.15595,BPZ
NRSPHB20150330,639,Port Hacking,-34.11923,151.22667,2015-03-31 09:32:00,4.85341,BPZ
NRSPHB20160229,703,Port Hacking,-34.11923,151.22667,2016-03-01 09:00:00,11.22427,BFPZ
NRSPHB20161030,747,Port Hacking,-34.11923,151.22667,2016-10-31 09:35:00,8.91152,BFPZ
NRSPHB20170419,763,Port Hacking,-34.11923,151.22667,2017-04-19 10:00:00,9.12723,BZ
NRSPHB20180221,827,Port Hacking,-34.11923,151.22667,2018-02-22 09:18:00,17.35978,BFPZ
NRSPHB20190729,983,Port Hacking,-34.11923,151.22667,2019-07-29 10:03:00,16.90505,BFPZ
NRSPHB20190923,982,Port Hacking,-34.11923,151.22667,2019-09-24 09:36:00,15.64467,BFPZ
NRSPHB20200831,1071,Port Hacking,-34.11923,151.22667,2020-09-01 09:44:00,7.61015,BPZ
NRSROT20100820,140,Rottnest Island,-32,115.41667,2010-08-20 14:30:00,20.92714,BPZ
NRSROT20110324,119,Rottnest Island,-32,115.41667,2011-03-24 09:35:00,4.62864,BPZ
NRSROT20120221,58,Rottnest Island,-32,115.41667,2012-02-21 09:40:00,12.11778,BPZ
NRSROT20120727,360,Rottnest Island,-32,115.41667,2012-07-27 09:55:00,13.95666,BPZ
NRSROT20121219,438,Rottnest Island,-32,115.41667,2012-12-19 11:48:00,12.04705,BPZ
NRSROT20131218,464,Rottnest Island,-32,115.41667,2013-12-18 10:43:00,24.18841,BPZ
NRSROT20150319,559,Rottnest Island,-32,115.41667,2015-03-19 11:47:00,7.34768,BPZ
NRSROT20170303,758,Rottnest Island,-32,115.41667,2017-03-03 10:30:00,14.10283,BFPZ
NRSROT20171103,799,Rottnest Island,-32,115.41667,2017-11-03 09:25:00,14.20813,BFPZ
NRSROT20171214,825,Rottnest Island,-32,115.41667,2017-12-14 09:37:00,20.10986,BFPZ
NRSROT20180328,818,Rottnest Island,-32,115.41667,2018-03-28 09:23:00,11.54684,BFPZ
NRSROT20180511,836,Rottnest Island,-32,115.41667,2018-05-11 09:21:00,7.94934,BFPZ
NRSROT20180620,846,Rottnest Island,-32,115.41667,2018-06-20 09:56:00,15.90557,BFPZ
NRSROT20180719,848,Rottnest Island,-32,115.41667,2018-07-19 09:35:00,12.57357,BFPZ
NRSROT20180831,873,Rottnest Island,-32,115.41667,2018-08-31 10:07:00,38.38869,BFPZ
NRSROT20190527,906,Rottnest Island,-32,115.41667,2019-05-27 09:28:00,11.15118,BFPZ
NRSROT20200304,1017,Rottnest Island,-32,115.41667,2020-03-04 09:25:00,13.99596,BPZ
NRSROT20200520,1076,Rottnest Island,-32,115.41667,2020-05-20 09:22:00,18.64523,BPZ
NRSROT20200730,1079,Rottnest Island,-32,115.41667,2020-07-30 09:27:00,40.45547,BPZ
NRSROT20200825,1081,Rottnest Island,-32,115.41667,2020-08-25 10:40:00,20.68746,BPZ
NRSYON20100909,9,Yongala,-19.30847,147.61842,2010-09-09 11:00:00,9.42564,BPZ
NRSYON20120424,307,Yongala,-19.30847,147.61842,2012-04-24 10:50:00,24.04696,BPZ
NRSYON20140501,522,Yongala,-19.30847,147.61842,2014-05-01 11:25:00,18.40245,BPZ
NRSYON20141120,620,Yongala,-19.30847,147.61842,2014-11-21 08:48:00,7.00462,BPZ
NRSYON20160215,688,Yongala,-19.30847,147.61842,2016-02-15 10:18:00,32.2757,BPZ
NRSYON20170322,780,Yongala,-19.30847,147.61842,2017-03-22 12:00:00,21.50081,BPZ
NRSYON20171130,805,Yongala,-19.30847,147.61842,2017-11-30 10:34:00,9.90169,BPZ
NRSYON20181011,858,Yongala,-19.30847,147.61842,2018-10-11 10:54:00,20.98804,BPZ
NRSYON20190124,882,Yongala,-19.30847,147.61842,2019-01-24 11:12:00,8.04865,BPZ
NRSDAR20160202_0630,694,Darwin,-12.4,130.76805,2016-02-02 16:00:00,11.1001,BPZ
NRSDAR20160724_0130,723,Darwin,-12.4,130.76805,2016-07-24 11:01:00,22.83716,BPZ
NRSDAR20170202_2130,752,Darwin,-12.4,130.76805,2017-02-03 07:00:00,56.44356,BPZ
NRSDAR20170203_0630,761,Darwin,-12.4,130.76805,2017-02-03 16:00:00,47.67788,BPZ
NRSDAR20170715_0330,790,Darwin,-12.4,130.76805,2017-07-15 13:00:00,242.84681,BPZ
NRSDAR20200204_0630,1009,Darwin,-12.4,130.76805,2020-02-04 16:01:00,77.48696,BPZ
NRSDAR20120115_03:35,93,Darwin,-12.4,130.76805,2012-01-15 13:05:00,48.41338,BPZ
NRSDAR20121208_16:30,368,Darwin,-12.4,130.76805,2012-12-09 02:00:00,60.47103,BPZ
NRSDAR20150316,555,Darwin,-12.4,130.76805,2015-03-17 08:35:00,36.84401,BPZ
NRSDAR20170516,768,Darwin,-12.4,130.76805,2017-05-17 08:47:00,58.26603,BPZ
NRSESP20120309,384,Esperance,-33.93333,121.85,2012-03-09 09:34:00,23.78763,BZ
NRSESP20120910,364,Esperance,-33.93333,121.85,2012-09-10 12:51:00,6.56183,BPZ
NRSKAI20090601,120,Kangaroo Island,-35.83217,136.44733,2009-06-02 08:00:00,(null),P
NRSKAI20110223,191,Kangaroo Island,-35.83217,136.44733,2011-02-23 10:30:00,0.27583,BPZ
NRSKAI20111026,201,Kangaroo Island,-35.83217,136.44733,2011-10-26 14:40:00,0.5941,BPZ
NRSKAI20120116,10,Kangaroo Island,-35.83217,136.44733,2012-01-17 07:00:00,3.46735,BPZ
NRSKAI20141029,546,Kangaroo Island,-35.83217,136.44733,2014-10-29 11:00:00,5.21253,BFPZ
NRSKAI20150909,654,Kangaroo Island,-35.83217,136.44733,2015-09-09 12:50:00,15.80734,BFPZ
NRSKAI20171129,809,Kangaroo Island,-35.83217,136.44733,2017-11-29 14:50:00,7.44041,BFPZ
NRSKAI20181204,879,Kangaroo Island,-35.83217,136.44733,2018-12-04 15:39:00,10.77869,BFPZ
NRSKAI20190909,980,Kangaroo Island,-35.83217,136.44733,2019-09-10 07:50:00,1.20234,BFPZ
NRSKAI20200527,1063,Kangaroo Island,-35.83217,136.44733,2020-05-28 08:30:00,3.97482,BPZ
NRSMAI20121017,379,Maria Island,-42.59667,148.23333,2012-10-18 10:52:00,22.72084,BPZ
NRSMAI20140122,480,Maria Island,-42.59667,148.23333,2014-01-23 10:50:00,20.30318,BZ
NRSMAI20151001,648,Maria Island,-42.59667,148.23333,2015-10-01 11:05:00,26.87601,BPZ
NRSMAI20160927,713,Maria Island,-42.59667,148.23333,2016-09-27 10:10:00,10.4675,BFPZ
NRSMAI20170412,755,Maria Island,-42.59667,148.23333,2017-04-12 10:15:00,10.2506,BFPZ
NRSMAI20170921,793,Maria Island,-42.59667,148.23333,2017-09-22 09:15:00,14.25371,BPZ
NRSMAI20180919,859,Maria Island,-42.59667,148.23333,2018-09-20 09:50:00,12.25923,BFPZ
NRSMAI20200106,1023,Maria Island,-42.59667,148.23333,2020-01-07 09:45:00,64.62503,BPZ
NRSMAI20200810,1064,Maria Island,-42.59667,148.23333,2020-08-10 10:05:00,4.84239,BPZ
NRSMAI20200909,1082,Maria Island,-42.59667,148.23333,2020-09-10 09:00:00,6.37951,BPZ
NRSNIN20110209,112,Ningaloo,-21.99,113.779,2011-02-09 10:15:00,59.31112,BPZ
NRSNSI20091101,122,North Stradbroke,-27.345,153.562,2009-11-02 09:02:00,15.22545,BPZ
NRSNSI20100916,184,North Stradbroke,-27.345,153.562,2010-09-16 12:45:00,13.5023,BPZ
NRSNSI20121114,367,North Stradbroke,-27.345,153.562,2012-11-14 10:45:00,19.54619,BPZ
NRSNSI20150907,638,North Stradbroke,-27.345,153.562,2015-09-07 10:40:00,13.75306,BFPZ
NRSNSI20160120,674,North Stradbroke,-27.345,153.562,2016-01-20 10:30:00,10.80827,BFPZ
NRSNSI20160517,681,North Stradbroke,-27.345,153.562,2016-05-17 10:30:00,9.90169,BFPZ
NRSNSI20160720,710,North Stradbroke,-27.345,153.562,2016-07-20 10:30:00,9.09155,BFZ
NRSNSI20170927,787,North Stradbroke,-27.345,153.562,2017-09-27 10:40:00,16.08703,BFPZ
NRSNSI20171219,804,North Stradbroke,-27.345,153.562,2017-12-19 10:45:00,8.28141,BFPZ
NRSNSI20180302,815,North Stradbroke,-27.345,153.562,2018-03-02 10:25:00,10.2939,BFPZ
NRSNSI20180320,814,North Stradbroke,-27.345,153.562,2018-03-20 10:40:00,10.2939,BFPZ
NRSNSI20180530,843,North Stradbroke,-27.345,153.562,2018-05-30 10:20:00,9.65736,BFPZ
NRSNSI20180913,870,North Stradbroke,-27.345,153.562,2018-09-13 10:20:00,20.56851,BFPZ
NRSNSI20190118,888,North Stradbroke,-27.345,153.562,2019-01-18 10:40:00,15.28396,BFPZ
NRSNSI20191220,1002,North Stradbroke,-27.345,153.562,2019-12-20 10:20:00,9.78595,BFPZ
NRSNSI20201221,1151,North Stradbroke,-27.345,153.562,2020-12-21 10:30:00,(null),BPZ
NRSPHB20090714,79,Port Hacking,-34.11923,151.22667,2009-07-15 09:15:00,2.75832,BPZ
NRSPHB20090819,34,Port Hacking,-34.11923,151.22667,2009-08-20 09:19:00,9.48086,BPZ
NRSPHB20100510,179,Port Hacking,-34.11923,151.22667,2010-05-11 09:13:00,17.7806,BPZ
NRSPHB20101019,13,Port Hacking,-34.11923,151.22667,2010-10-20 10:40:00,(null),P
NRSPHB20101110,1,Port Hacking,-34.11923,151.22667,2010-11-11 09:10:00,10.41799,BPZ
NRSPHB20110203,111,Port Hacking,-34.11923,151.22667,2011-02-04 09:58:00,10.64431,BPZ
NRSPHB20120212,43,Port Hacking,-34.11923,151.22667,2012-02-13 10:00:00,12.56453,BPZ
NRSPHB20120517,21,Port Hacking,-34.11923,151.22667,2012-05-18 09:33:00,5.6581,BPZ
NRSPHB20130725,422,Port Hacking,-34.11923,151.22667,2013-07-26 09:24:00,3.90055,BPZ
NRSPHB20140211,481,Port Hacking,-34.11923,151.22667,2014-02-12 09:57:00,4.54063,BPZ
NRSPHB20140317,488,Port Hacking,-34.11923,151.22667,2014-03-18 09:48:00,4.66508,BPZ
NRSPHB20150121,544,Port Hacking,-34.11923,151.22667,2015-01-22 09:48:00,4.59721,BPZ
NRSPHB20150518,641,Port Hacking,-34.11923,151.22667,2015-05-19 09:43:00,4.80939,BPZ
NRSPHB20150630,649,Port Hacking,-34.11923,151.22667,2015-06-30 11:11:00,2.95636,BFPZ
NRSPHB20160407,704,Port Hacking,-34.11923,151.22667,2016-04-08 09:13:00,6.23452,BFPZ
NRSPHB20180123,826,Port Hacking,-34.11923,151.22667,2018-01-24 09:41:00,16.66313,BFPZ
NRSPHB20190121,885,Port Hacking,-34.11923,151.22667,2019-01-22 09:43:00,9.94412,BFPZ
NRSPHB20191216,1013,Port Hacking,-34.11923,151.22667,2019-12-17 09:02:00,4.95791,BPZ
NRSPHB20200609,1066,Port Hacking,-34.11923,151.22667,2020-06-10 09:32:00,4.45222,BPZ
NRSPHB20201013,1141,Port Hacking,-34.11923,151.22667,2020-10-14 09:48:00,(null),P
NRSROT20100315,84,Rottnest Island,-32,115.41667,2010-03-15 10:00:00,74.29411,BPZ
NRSROT20100416,26,Rottnest Island,-32,115.41667,2010-04-16 08:30:00,17.56371,BPZ
NRSROT20100520,154,Rottnest Island,-32,115.41667,2010-05-20 10:05:00,6.01959,BPZ
NRSROT20130221,439,Rottnest Island,-32,115.41667,2013-02-21 12:55:00,16.02344,BPZ
NRSROT20150128,557,Rottnest Island,-32,115.41667,2015-01-28 10:15:00,6.32607,BPZ
NRSROT20150507,634,Rottnest Island,-32,115.41667,2015-05-07 09:36:00,11.04902,BPZ
NRSROT20150924,669,Rottnest Island,-32,115.41667,2015-09-24 10:08:00,5.2416,BPZ
NRSROT20170802,779,Rottnest Island,-32,115.41667,2017-08-02 09:33:00,22.00375,BFPZ
NRSROT20181211,877,Rottnest Island,-32,115.41667,2018-12-11 09:24:00,15.15115,BFPZ
NRSROT20190125,889,Rottnest Island,-32,115.41667,2019-01-25 09:35:00,9.48519,BFPZ
NRSROT20191104,997,Rottnest Island,-32,115.41667,2019-11-04 09:25:00,(null),FP
NRSROT20200128,1016,Rottnest Island,-32,115.41667,2020-01-28 09:39:00,9.95669,BPZ
NRSROT20201013,1143,Rottnest Island,-32,115.41667,2020-10-13 09:18:00,(null),BPZ
NRSYON20100729,23,Yongala,-19.30847,147.61842,2010-07-29 11:22:00,8.24234,BPZ
NRSYON20101101,70,Yongala,-19.30847,147.61842,2010-11-01 11:45:00,8.55516,BPZ
NRSYON20110118,142,Yongala,-19.30847,147.61842,2011-01-18 11:30:00,28.60337,BPZ
NRSYON20110323,146,Yongala,-19.30847,147.61842,2011-03-23 10:49:00,19.34093,BPZ
NRSYON20120402,306,Yongala,-19.30847,147.61842,2012-04-02 10:44:00,28.03212,BPZ
NRSYON20120918,375,Yongala,-19.30847,147.61842,2012-09-18 11:00:00,3.06027,BPZ
NRSYON20121219,372,Yongala,-19.30847,147.61842,2012-12-19 10:20:00,43.52391,BPZ
NRSYON20130220,404,Yongala,-19.30847,147.61842,2013-02-20 10:42:00,11.95547,BPZ
NRSYON20150804,646,Yongala,-19.30847,147.61842,2015-08-04 11:45:00,3.85851,BPZ
NRSYON20150923,655,Yongala,-19.30847,147.61842,2015-09-23 13:11:00,5.25007,BPZ
NRSYON20151027,656,Yongala,-19.30847,147.61842,2015-10-27 10:10:00,7.42626,BPZ
NRSYON20160122,687,Yongala,-19.30847,147.61842,2016-01-22 10:39:00,25.36628,BPZ
NRSYON20160601,708,Yongala,-19.30847,147.61842,2016-06-01 10:46:00,26.38637,BPZ
NRSYON20160725,717,Yongala,-19.30847,147.61842,2016-07-25 10:25:00,12.14589,BPZ
NRSYON20170528,782,Yongala,-19.30847,147.61842,2017-05-29 08:11:00,17.97864,BPZ
NRSYON20181213,881,Yongala,-19.30847,147.61842,2018-12-13 10:30:00,12.27809,BPZ
NRSYON20190826,990,Yongala,-19.30847,147.61842,2019-08-26 10:40:00,9.68951,BPZ
NRSYON20190917,991,Yongala,-19.30847,147.61842,2019-09-17 10:10:00,8.16889,BPZ
NRSDAR20160201_2130,691,Darwin,-12.4,130.76805,2016-02-02 07:00:00,20.39276,BPZ
NRSDAR20160202_0030,692,Darwin,-12.4,130.76805,2016-02-02 10:00:00,9.07654,BPZ
NRSDAR20200203_2130,1006,Darwin,-12.4,130.76805,2020-02-04 07:00:00,60.1174,BPZ
NRSDAR20120114_23:35,160,Darwin,-12.4,130.76805,2012-01-15 09:05:00,26.32359,BPZ
NRSDAR20130617_11:30,419,Darwin,-12.4,130.76805,2013-06-17 21:00:00,23.55495,BPZ
NRSDAR20130617_18:30,430,Darwin,-12.4,130.76805,2013-06-18 04:00:00,19.49395,BPZ
NRSDAR20130405,394,Darwin,-12.4,130.76805,2013-04-05 09:40:00,3.21636,BPZ
NRSDAR20140702,495,Darwin,-12.4,130.76805,2014-07-03 09:08:00,31.04592,BZ
NRSDAR20171009,808,Darwin,-12.4,130.76805,2017-10-10 07:57:00,87.81119,BPZ
NRSDAR20201123,1137,Darwin,-12.4,130.76805,2020-11-24 07:23:00,(null),BPZ
NRSESP20090917,135,Esperance,-33.93333,121.85,2009-09-17 09:40:00,7.84276,BPZ
NRSESP20100322,106,Esperance,-33.93333,121.85,2010-03-22 09:40:00,12.27495,BPZ
NRSESP20100629,88,Esperance,-33.93333,121.85,2010-06-29 10:05:00,7.15122,BPZ
NRSESP20110120,90,Esperance,-33.93333,121.85,2011-01-20 08:50:00,3.66205,BPZ
