SAMPLE,SST,CHLA,DEPTHM
40,15.069993559644,0.409724861,88
76,20.519993437827,0.794231653,111.042
82,22.91992218,0.631473303,63.8002
93,29.40999323912,(null),16.6025
126,17.429993506894,1.978702784,111.042
142,29.099993246049,0.95235157,24.149
158,17.199993512034,0.315752745,88
166,27.699993277341,0.473535955,24.149
182,21.294993420504,0.529543579,63.8002
184,21.53499341514,0.731047451,63.8002
201,15.479993550479,0.189587966,108.088
203,30.014993225597,1.972783446,16.6025
207,24.244993354566,2.522149324,16.6025
293,20.82463223,0.797356606,63.8002
297,24.639993345737,0.360895216,63.8002
304,19.619993457943,0.307269484,111.042
404,28.759993253648,0.401522726,24.149
440,22.704993388988,0.18186827,44.6421
493,14.359993575513,(null),88
498,22.424993395247,0.458656222,63.8002
510,25.76999332048,3.501465082,16.6025
534,19.614993458055,0.23844412,44.6421
540,27.554993280582,0.181364879,63.8002
559,22.774993387423,0.159187913,44.6421
666,20.699993433803,0.217739463,111.042
670,19.584993458726,0.162868485,44.6421
704,23.219993377477,0.190119907,111.042
707,21.529993415251,1.378926635,111.042
810,29.9565209,(null),16.6025
221,23.57999947,0.306607723,104.6
246,20.57999954,0.200650766,104.6
711,21.77617861,0.257880658,63.8002
771,21.50610662,0.312470794,63.8002
756,20.30832164,0.164394811,44.6421
780,29.8572017,0.240034431,24.149
469,25.829993319139,0.287800938,24.149
474,27.549993280694,0.328835338,24.149
706,29.57999323532,2.185528517,16.6025
779,19.5599645,0.320110351,44.6421
789,26.6513285,1.570851564,16.6025
845,19.0413149,0.685407817,111.042
860,13.8560752,0.76263088,88
871,23.6242806,0.175006166,63.8002
873,18.21832,0.266187549,44.6421
12,23.459993372113,0.379440218,111.042
99,21.639993412793,0.259085566,24.149
515,20.619993435591,0.524682403,111.042
678,17.5549935041,0.433946818,88
830,29.9565209,(null),16.6025
813,26.4983907,0.15591161,63.8002
209,23.07999948,(null),104.6
518,18.34999348633,1.743965983,111.042
233,22.81999949,0.187527895,104.6
856,23.3885538,0.222245783,24.149
879,16.51001,0.2673365,108.088
880,27.07978,0.2904795,24.149
112,28.909993250296,0.149204865,595.598
141,17.374993508123,(null),49.3207
798,18.8699702,0.218684316,44.6421
662,30.844993207045,2.451804638,16.6025
3,27.249993287399,0.227571011,63.8002
253,24.17999946,(null),104.6
730,18.056124,0.269938469,111.042
68,18.524271,0.478566468,108.088
425,23.799993364513,0.361990392,24.149
377,27.119993290305,0.201092467,63.8002
157,28.139993267506,0.48111257,24.149
465,30.499993214756,2.965517044,16.6025
973,21.17631571,0.994224595,63.8002
885,22.26971256,0.293083086,111.042
986,22.61764999,0.533640988,24.149
977,25.75833299,4.268196901,16.6025
1004,27.78520542,1.429386222,63.8002
993,25.98104764,(null),24.149
1005,29.99101543,(null),16.6025
891,17.89459704,(null),88
1071,16.94629817,(null),111.042
1064,12.65138479,(null),88
1076,21.92332181,(null),44.6421
1085,23.13325047,(null),24.149
1086,22.47684397,(null),24.149
1145,20.88832843,(null),44.6421
1151,26.26820091,(null),63.8002
381,18.369993485883,1.735686779,111.042
441,22.624993390776,0.175447345,44.6421
775,21.3099751,0.322566479,44.6421
744,28.4610603,0.327501535,24.149
148,22.929993383959,0.284991741,24.149
281,12.689993612841,0.484458238,88
388,19.054993470572,0.152173802,44.6421
442,21.142493423913,0.624570787,44.6421
514,22.439993394911,0.259749025,111.042
216,20.19999955,0.614347279,104.6
243,23.88999947,0.246950358,104.6
372,27.819993274659,0.361330301,24.149
654,14.45499357339,0.265223265,108.088
700,24.249993354455,0.394568712,111.042
717,24.839993341267,0.134456202,24.149
790,26.6513285,1.570851564,16.6025
186,19.4119373,1.629148364,111.042
743,27.5545559,0.187837824,24.149
204,24.244993354566,2.522149324,16.6025
7,16.619993524998,0.572120845,88
39,23.029993381724,0.253961653,111.042
50,18.514993482642,(null),49.3207
53,24.729993343726,0.533118904,24.149
69,25.734993321262,0.341044515,63.8002
78,21.844993408211,0.193576276,63.8002
90,20.359993441403,(null),49.3207
115,19.289993465319,0.510205567,44.6421
136,17.419993507117,0.917355478,111.042
154,20.584993436374,0.380378723,44.6421
172,17.369993508235,0.129382923,108.088
199,17.369993508235,0.659462869,111.042
285,27.47499328237,0.1502655,63.8002
360,18.427493484598,0.291411102,44.6421
379,12.354993620329,0.933449268,88
386,29.274993242137,0.153226808,595.598
392,16.284993532486,0.544194818,88
435,16.979993516952,(null),49.3207
446,13.584993592836,0.439445138,88
450,23.944993361272,0.305887967,63.8002
454,15.829993542656,0.331862599,108.088
512,18.034993493371,0.343468279,108.088
520,21.029993426427,0.356752813,44.6421
563,27.329993285611,0.147708997,63.8002
641,20.839993430674,0.517038405,111.042
656,25.369993329421,0.151195183,24.149
659,25.589993324503,2.186071873,16.6025
672,16.86999351941,0.457558542,88
683,19.71499345582,0.183026165,108.088
699,21.30665462,0.257739693,44.6421
708,26.439993305504,0.343554586,24.149
715,21.409993417934,0.644252062,111.042
189,19.1336051,0.255941868,108.088
824,28.9922984,0.347377896,24.149
820,28.6727546,0.25232321,24.149
772,21.318133,0.355198532,111.042
774,19.7652053,0.383129716,111.042
807,18.8590896,0.2832748,111.042
208,24.22999946,(null),104.6
210,22.4299995,(null),104.6
220,24.31999946,0.396386266,104.6
260,22.1999995,0.130746141,104.6
279,23.03999949,0.421628654,104.6
2,18.4806317,0.254508615,108.088
758,23.15499278,0.158011049,44.6421
761,29.3042988,(null),16.6025
762,23.77541,0.45997858,111.042
129,18.1499934908,(null),49.3207
95,21.069597,(null),49.3207
147,28.349993262812,0.231318861,595.598
308,24.079993358254,0.308754057,24.149
384,21.16499342341,(null),49.3207
480,16.539993526787,0.454768717,88
696,22.704993388988,0.372741163,63.8002
759,29.9527946,(null),16.6025
745,29.3160016,0.447297752,24.149
500,18.724993477948,0.617768705,108.088
872,20.06705,1.2211182,111.042
202,16.704993523099,0.169171408,108.088
371,31.119993200898,2.309886694,16.6025
550,30.804993207939,2.75117898,16.6025
653,18.669993479177,0.338390559,44.6421
679,27.159993289411,0.219232902,63.8002
219,23.86999947,0.230627388,104.6
734,27.04324249,0.487327963,63.8002
801,25.0572681,0.28107366,24.149
110,20.919993428886,0.358644992,63.8002
159,24.06499335859,0.261099875,44.6421
635,19.71498526,0.486367017,44.6421
818,21.7899991,0.49653855,44.6421
5,25.68499332238,0.426104993,63.8002
179,22.489993393794,0.61311239,111.042
378,18.059993492812,0.379028767,111.042
519,22.007493404578,0.236902505,44.6421
835,18.6847946,0.304945767,88
60,15.98999353908,0.264868498,108.088
909,19.56454561,0.495885359,111.042
984,20.51392865,0.494115607,44.6421
889,21.08289995,0.196888277,44.6421
1016,22.50805,0.163596756,44.6421
979,25.75833299,4.268196901,16.6025
1003,26.96046049,1.977271992,63.8002
907,20.66499483,(null),44.6421
912,28.26357037,(null),24.149
987,22.83220859,(null),63.8002
1024,17.3546288,(null),88
882,28.04230832,(null),24.149
883,28.66380496,(null),24.149
915,12.9831016,(null),88
1138,12.93826926,(null),88
1065,20.76804451,(null),111.042
1083,27.85432379,(null),24.149
1079,20.04165125,(null),44.6421
1092,28.42332586,(null),16.6025
422,17.969993494824,0.813792109,111.042
428,23.799993364513,0.347146571,24.149
499,13.389993597195,0.455190748,88
537,24.239993354678,0.159417316,63.8002
556,20.517493437883,0.171368778,44.6421
562,18.174993490241,0.350195318,88
799,19.2099928,0.21736452,44.6421
768,28.5264917,2.257486105,16.6025
827,24.1469081,0.304385632,111.042
270,23.07999948,1.009198308,104.6
714,21.76964701,0.390935421,63.8002
84,22.434993395023,0.245392784,44.6421
309,23.559993369877,0.275512129,24.149
419,27.204993288405,2.460482836,16.6025
698,13.214993601106,0.760057092,88
742,20.58677,0.402079612,111.042
36,22.579993391782,0.407760203,63.8002
487,23.644993367977,0.786502779,63.8002
522,26.919993294775,0.269293368,24.149
214,18.69999958,0.620650172,104.6
266,19.79999956,0.439213008,104.6
19,19.01511988,0.557636082,111.042
24,27.169993289188,0.195069328,595.598
55,17.829993497953,0.422725588,108.088
71,16.524993527122,(null),49.3207
96,17.964993494935,0.378864408,88
97,18.249993488565,0.150766328,108.088
113,23.339993374795,(null),111.042
121,18.819993475825,0.67306453,111.042
149,19.062493470404,0.168675512,44.6421
161,29.40999323912,(null),16.6025
187,21.814993408881,0.489341944,63.8002
284,27.47499328237,0.40325135,63.8002
286,27.47499328237,0.134295806,63.8002
407,24.094993357919,0.41503492,63.8002
439,24.082493358199,0.174428388,44.6421
470,26.729993299022,0.299702048,24.149
473,27.899993272871,0.514439583,24.149
485,17.69499350097,0.307454437,88
490,30.82999320738,3.38805747,16.6025
521,20.5524934371,0.55105114,44.6421
530,15.889993541315,0.493449628,108.088
561,17.679993501306,0.472595721,88
661,25.589993324503,2.186071873,16.6025
693,30.469993215427,2.400891781,16.6025
800,23.851264,0.142533422,24.149
814,26.5179902,0.151732817,63.8002
215,18.25999959,1.265353322,104.6
225,17.8099996,0.35840112,104.6
226,18.26999959,0.494296581,104.6
228,18.83999958,0.630859792,104.6
230,22.70999949,0.353519291,104.6
234,22.12999951,0.592360675,104.6
271,20.51999954,0.225228861,104.6
739,15.25892087,0.208616197,108.088
746,29.671776,0.2856493,24.149
140,19.407493462693,0.306159079,44.6421
695,17.509993505105,0.504460692,108.088
838,14.8597484,0.488802195,88
353,19.9731306,0.190818205,108.088
868,21.8875318,0.559952617,63.8002
874,16.4634948,1.502333164,111.042
37,14.28499357719,1.035249114,88
74,22.852493385691,0.316282541,44.6421
283,12.29499362167,0.368828952,88
373,26.889993295446,0.176335379,24.149
401,18.919993473589,0.237989292,108.088
456,25.629993323609,0.140393093,63.8002
812,26.1493704,0.296201706,24.149
227,18.0999996,0.407195061,104.6
175,18.189993489906,0.168630674,108.088
840,30.028896,2.411756516,16.6025
878,17.4511,0.3115222,88
884,21.35225,0.7421643,111.042
888,26.27775,0.1423061,63.8002
15,20.089993447438,0.609629631,111.042
38,24.014993359707,0.234188169,63.8002
167,26.759993298352,0.169651523,63.8002
395,26.274993309192,0.802951157,63.8002
426,23.139993379265,0.317484647,24.149
628,28.739993254095,0.317096263,24.149
713,13.474993595295,1.138576627,88
434,20.839993430674,0.766273856,49.3207
108,16.154993535392,0.217809066,108.088
414,15.4244727,0.243983939,88
716,21.3586324,0.163809985,111.042
77,13.159993602335,0.326497823,88
357,23.52499337066,0.244224757,595.598
399,17.15499351304,0.418736428,88
495,25.394993328862,2.571661472,16.6025
198,18.039993493259,0.479032785,111.042
1000,10.40249991,27.31699061,88
972,11.35999997,0.510031164,88
981,17.65756416,0.238940137,111.042
1015,23.05220001,0.150868613,44.6421
989,23.22827387,0.379356098,24.149
978,25.75833299,4.268196901,16.6025
899,26.41640339,1.403486976,63.8002
894,29.64597503,(null),16.6025
982,18.56670283,(null),111.042
991,23.28114023,(null),24.149
995,19.43832686,(null),44.6421
1066,19.46058843,(null),111.042
1088,26.31391031,(null),16.6025
1082,12.27371406,(null),88
1139,15.32974538,(null),88
1140,17.97143333,(null),111.042
311,22.469993394241,0.137568057,24.149
453,24.009993359819,0.560002565,63.8002
638,21.464993416704,0.847966433,63.8002
649,19.409993462637,0.423302621,111.042
687,28.429993261024,0.366404057,24.149
703,25.819993319362,0.4310368,111.042
809,18.571339,0.247382015,108.088
258,24.87999944,0.200095862,104.6
755,16.81603948,0.337213516,88
736,16.83997964,0.527407169,88
58,24.507493348699,0.184796274,44.6421
119,23.97999336049,0.398882419,44.6421
174,16.684993523546,0.265000105,108.088
194,16.264993532933,0.665998042,88
200,20.944993428327,0.307918131,63.8002
617,24.529993348196,0.472878039,63.8002
709,25.439993327856,0.305784464,24.149
783,23.6083629,0.277350456,24.149
721,18.05998549,0.246976852,44.6421
738,19.38832286,0.15065597,44.6421
294,20.974993427657,0.517409325,63.8002
10,19.069993470237,0.122447528,108.088
103,18.799993476272,0.67306453,111.042
196,18.679993478954,0.614944756,111.042
397,17.859993497282,0.48564744,88
409,23.23999337703,0.633536696,111.042
545,21.58999341391,1.227622271,111.042
557,22.634993390553,0.15453513,44.6421
642,15.554993548803,0.600559235,88
816,26.9532761,0.136362955,63.8002
224,18.0799996,0.372048795,104.6
254,20.02999955,0.419201702,104.6
712,12.494993617199,0.584280133,88
178,15.1580209,0.252736986,108.088
844,20.5047516,0.494655132,111.042
861,15.5388571,0.340319127,108.088
162,25.929993316904,0.343416125,63.8002
1,19.01176421,0.463346958,111.042
4,22.759993387759,0.235714927,111.042
17,20.644993435033,0.465263963,44.6421
22,12.7499936115,0.474624902,88
33,19.189993467554,(null),49.3207
91,14.659993568808,0.793094993,88
104,20.822493431065,0.183249399,44.6421
118,22.067493403237,0.298001409,44.6421
133,15.494993550144,0.541484177,88
139,29.229993243143,0.316319585,24.149
185,12.084993626364,1.062985063,88
193,23.739993365854,(null),111.042
361,18.102493491862,0.24647072,44.6421
383,18.654993479513,(null),49.3207
403,29.869993228838,0.237445682,24.149
411,22.8699933853,0.219996631,111.042
417,22.709993388876,0.200612441,63.8002
436,27.734993276559,0.261261791,595.598
443,20.129993446544,0.281251132,44.6421
458,15.359993553162,0.452616572,88
528,18.994993471913,0.245751441,44.6421
543,15.159993557632,0.428570062,88
551,30.804993207939,2.75117898,16.6025
554,30.804993207939,2.75117898,16.6025
621,28.0999932684,0.16247201,24.149
629,27.139993289858,0.256856769,24.149
637,20.959993427992,0.487783641,63.8002
645,24.999993337691,0.285828829,63.8002
676,19.654993457161,0.470248729,88
684,21.922493406478,0.191359326,44.6421
781,26.4699159,0.613288581,24.149
833,27.9504443,0.224209711,24.149
525,23.507333,0.203820497,24.149
222,21.80999951,0.771734893,104.6
262,17.6799996,0.878923476,104.6
272,20.02999955,0.524984717,104.6
274,17.55999961,0.68862915,104.6
733,24.45232695,0.418462038,63.8002
785,22.2496018,0.330584973,63.8002
763,23.52728,0.650156319,111.042
156,18.284993487783,0.364951015,88
170,26.549993303046,0.387435019,24.149
489,16.249993533269,0.356080681,88
841,18.1714418,0.277730018,108.088
843,23.857757,0.282428801,63.8002
857,24.3230569,0.228657678,24.149
153,16.29935528,0.568205059,88
180,24.004993359931,0.551234424,63.8002
29,14.509993572161,0.51788342,88
431,24.169993356243,0.521212101,111.042
494,13.919993585348,0.399306655,88
541,14.54708134,0.286135346,88
624,19.51499346029,0.199949935,108.088
244,23.68999947,0.324266821,104.6
31,15.869993541762,0.302302837,88
87,21.58999341391,0.633104742,63.8002
459,18.147493490856,0.546382964,44.6421
492,21.689993411675,0.35694167,63.8002
461,25.629993323609,0.154060483,63.8002
767,23.03195218,0.362953395,63.8002
48,24.749993343279,0.337141961,24.149
410,21.039993426204,0.313766986,111.042
464,22.564993392117,0.142423779,44.6421
686,27.599993279576,0.307578981,24.149
752,29.9527946,(null),16.6025
150,13.814993587695,0.845641494,88
558,22.982493382785,0.163083732,44.6421
674,26.984993293323,0.192936912,63.8002
870,21.579345,0.226820588,63.8002
757,20.74166163,0.192736313,44.6421
905,21.85763156,0.340320887,44.6421
902,22.42776309,1.141594671,63.8002
994,26.15980779,1.058563216,24.149
1020,28.70946151,0.276962231,24.149
896,28.33407966,(null),16.6025
1009,30.23292102,(null),16.6025
1010,16.50594712,(null),108.088
900,26.06575251,(null),63.8002
1046,22.66149859,(null),63.8002
1149,12.27127863,(null),88
1205,16.98953106,(null),88
1054,13.4501532,(null),88
1075,21.39430702,(null),63.8002
1078,20.86998503,(null),44.6421
1081,19.18165167,(null),44.6421
1084,23.76402418,(null),24.149
1141,18.74525721,(null),111.042
1148,26.34179885,(null),24.149
394,30.309993219003,1.645467281,16.6025
400,19.47226105,0.335772276,111.042
524,24.139993356913,0.229085743,24.149
681,25.279993331432,0.226483151,63.8002
351,15.3977547,0.529671311,108.088
218,23.37999948,0.312105566,104.6
75,14.814993565343,0.368861586,88
292,22.609993391111,0.729317665,63.8002
268,23.51999947,0.165321708,104.6
846,20.33331,0.580068707,44.6421
128,22.587493391614,0.244239539,44.6421
359,21.497493415978,0.359179676,44.6421
513,22.839993385971,0.391410232,111.042
831,20.113832,0.161458358,108.088
242,21.21999953,0.142835975,104.6
848,19.23832,0.513360202,44.6421
25,24.179993356019,0.18693389,595.598
9,24.269993354008,0.170614019,24.149
35,12.339993620664,0.490739793,88
47,19.319993464649,1.43824625,111.042
52,17.944993495382,0.323766619,108.088
57,23.732493366022,0.198149741,44.6421
65,27.869993273541,(null),16.6025
