NRSCODE,SOI
"YON20210310",0.15
"YON20210209",11.61
"YON20210127",16.53
"YON20201209",17.52
"YON20201120",9.14
"YON20201026",4.18
"YON20200926",9.96
"YON20200904",9.96
"YON20200802",9.39
"YON20200710",4.02
"YON20200611",-9.91
"YON20200422",-0.76
"YON20200306",-5.37
"YON20200212",-1.99
"YON20200116",1.21
"YON20191202",-5.46
"YON20191107",-9.93
"YON20191009",-5.51
"YON20190917",-12.46
"YON20190826",-3.96
"YON20190808",-3.96
"YON20190703",-6.15
"YON20190528",-9
"YON20190528",-8.76
"YON20190507",-9
"YON20190507",-8.76
"YON20190313",-6.8
"YON20190213",-13.5
"YON20190124",-0.6
"YON20181213",9.3
"YON20181123",-0.1
"YON20181011",3
"YON20180927",-10
"YON20180817",-6.9
"YON20180720",1.6
"YON20180621",-5.5
"YON20180602",-5.5
"YON20180425",4.5
"YON20180329",10.5
"YON20180220",-6
"YON20180130",8.9
"YON20171215",-1.4
"YON20171130",11.8
"YON20171025",9.1
"YON20170906",6.9
"YON20170816",3.3
"YON20170724",8.1
"YON20170705",8.1
"YON20170528",0.5
"YON20170426",-6.3
"YON20170322",5.1
"YON20170220",-2.2
"YON20170120",1.3
"YON20161207",2.6
"YON20161108",-0.7
"YON20161012",-4.3
"YON20160927",13.5
"YON20160823",5.3
"YON20160725",4.2
"YON20160624",5.8
"YON20160601",5.8
"YON20160503",2.8
"YON20160321",-4.7
"YON20160215",-19.7
"YON20160122",-19.7
"YON20151203",-9.1
"YON20151111",-5.3
"YON20151027",-20.2
"YON20150923",-17.8
"YON20150825",-19.8
"YON20150804",-19.8
"YON20150618",-12
"YON20150601",-12
"YON20150430",-3.8
"YON20150324",-11.2
"YON20150224",0.6
"YON20150119",-7.8
"YON20141209",-5.5
"YON20141120",-10
"YON20141014",-8
"YON20140910",-7.6
"YON20140820",-11.4
"YON20140717",-3
"YON20140624",-1.5
"YON20140527",4.4
"YON20140501",4.4
"YON20140317",-13.3
"YON20140220",-1.3
"YON20140122",12.2
"YON20131205",0.6
"YON20131114",9.2
"YON20131015",-1.9
"YON20130912",3.9
"YON20130808",-0.5
"YON20130719",8.1
"YON20130611",13.9
"YON20130515",8.4
"YON20130416",0.3
"YON20130220",-3.6
"YON20130131",-1.1
"YON20121219",-6
"YON20121129",3.9
"YON20121026",2.4
"YON20120918",2.6
"YON20120816",-5
"YON20120726",-1.7
"YON20120615",-10.4
"YON20120604",-10.4
"YON20120424",-7.1
"YON20120402",-7.1
"YON20120208",2.5
"YON20120112",9.4
"YON20111213",23
"YON20111027",7.3
"YON20110908",11.7
"YON20110811",2.1
"YON20110720",10.7
"YON20110616",0.2
"YON20110527",2.1
"YON20110414",25.1
"YON20110323",21.4
"YON20110217",22.3
"YON20110118",19.9
"YON20101208",27.1
"YON20101101",16.4
"YON20100909",24.9
"YON20100817",18.8
"YON20100729",20.5
"YON20100521",10
"YON20100413",15.2
"YON20100224",-14.5
"YON20100119",-10.1
"YON20091215",-7
"YON20091123",-6
"YON20090909",3.9
"SOTS20120722",-1.7
"SOTS20120718",-1.7
"SOTS20120717",-1.7
"SOTS20120714",-1.7
"SBG20200731",4.02
"SBG20200708",4.02
"SBG20200220",-1.99
"SBG20200219",-1.99
"SBG20190808",-3.96
"SBG20190411",-1.3
"SBG20190327",-6.8
"ROT20201127",9.14
"ROT20201106",9.14
"ROT20201013",4.18
"ROT20200825",9.39
"ROT20200814",9.39
"ROT20200730",4.02
"ROT20200710",4.02
"ROT20200605",-9.91
"ROT20200520",2.56
"ROT20200304",-5.37
"ROT20200128",1.21
"ROT20191218",-5.46
"ROT20191126",-9.93
"ROT20191104",-9.93
"ROT20191011",-5.51
"ROT20190819",-3.96
"ROT20190711",-6.15
"ROT20190621",-10.33
"ROT20190527",-9
"ROT20190527",-8.76
"ROT20190507",-9
"ROT20190507",-8.76
"ROT20190306",-6.8
"ROT20190221",-13.5
"ROT20190125",-0.6
"ROT20181211",9.3
"ROT20181130",-0.1
"ROT20181024",3
"ROT20180921",-10
"ROT20180831",-6.9
"ROT20180727",1.6
"ROT20180719",1.6
"ROT20180620",-5.5
"ROT20180511",2.1
"ROT20180328",10.5
"ROT20180221",-6
"ROT20180125",8.9
"ROT20171214",-1.4
"ROT20171123",11.8
"ROT20171103",11.8
"ROT20170914",6.9
"ROT20170802",3.3
"ROT20170626",-10.4
"ROT20170523",0.5
"ROT20170428",-6.3
"ROT20170407",-6.3
"ROT20170331",5.1
"ROT20170303",5.1
"ROT20170120",1.3
"ROT20161214",2.6
"ROT20161114",-0.7
"ROT20161024",-4.3
"ROT20161004",-4.3
"ROT20160722",4.2
"ROT20160621",5.8
"ROT20160527",2.8
"ROT20160502",2.8
"ROT20160413",-22
"ROT20160324",-4.7
"ROT20160223",-19.7
"ROT20151215",-9.1
"ROT20151022",-20.2
"ROT20150924",-17.8
"ROT20150827",-19.8
"ROT20150724",-14.7
"ROT20150701",-14.7
"ROT20150507",-13.7
"ROT20150319",-11.2
"ROT20150224",0.6
"ROT20150128",-7.8
"ROT20141216",-5.5
"ROT20141119",-10
"ROT20141014",-8
"ROT20140919",-7.6
"ROT20140902",-7.6
"ROT20140730",-3
"ROT20140624",-1.5
"ROT20140519",4.4
"ROT20140319",-13.3
"ROT20140227",-1.3
"ROT20140122",12.2
"ROT20131218",0.6
"ROT20131122",9.2
"ROT20131017",-1.9
"ROT20131001",-1.9
"ROT20130712",8.1
"ROT20130517",8.4
"ROT20130423",0.3
"ROT20130321",10.5
"ROT20130221",-3.6
"ROT20130125",-1.1
"ROT20121219",-6
"ROT20121126",3.9
"ROT20121019",2.4
"ROT20120928",2.6
"ROT20120824",-5
"ROT20120727",-1.7
"ROT20120523",-2.7
"ROT20120504",-2.7
"ROT20120329",2.9
"ROT20120221",2.5
"ROT20120130",9.4
"ROT20111221",23
"ROT20111122",13.8
"ROT20111020",7.3
"ROT20110923",11.7
"ROT20110826",2.1
"ROT20110725",10.7
"ROT20110622",0.2
"ROT20110527",2.1
"ROT20110324",21.4
"ROT20110224",22.3
"ROT20110125",19.9
"ROT20101215",27.1
"ROT20101124",16.4
"ROT20100924",24.9
"ROT20100820",18.8
"ROT20100723",20.5
"ROT20100617",1.8
"ROT20100520",10
"ROT20100416",15.2
"ROT20100315",-10.6
"ROT20091222",-7
"ROT20091026",-14.7
"ROF20191104",-9.93
"ROF20191011",-5.51
"ROF20190819",-3.96
"ROF20190711",-6.15
"ROF20190621",-10.33
"ROF20190527",-9
"ROF20190527",-8.76
"PHB20210310",0.15
"PHB20210210",11.61
"PHB20201110",9.14
"PHB20201013",4.18
"PHB20200922",9.96
"PHB20200831",9.96
"PHB20200812",9.39
"PHB20200630",4.02
"PHB20200609",-9.91
"PHB20200520",2.56
"PHB20200224",-1.99
"PHB20191216",-5.46
"PHB20191118",-9.93
"PHB20191028",-5.51
"PHB20190923",-12.46
"PHB20190827",-3.96
"PHB20190729",-6.15
"PHB20190626",-10.33
"PHB20190522",-9
"PHB20190522",-8.76
"PHB20190408",-1.3
"PHB20190227",-13.5
"PHB20190121",-0.6
"PHB20181218",9.3
"PHB20181120",-0.1
"PHB20180927",-10
"PHB20180905",-10
"PHB20180724",1.6
"PHB20180626",-5.5
"PHB20180528",2.1
"PHB20180326",10.5
"PHB20180221",-6
"PHB20180123",8.9
"PHB20171211",-1.4
"PHB20171024",9.1
"PHB20170921",6.9
"PHB20170821",3.3
"PHB20170716",8.1
"PHB20170614",-10.4
"PHB20170517",0.5
"PHB20170419",-6.3
"PHB20170321",5.1
"PHB20170205",-2.2
"PHB20161204",2.6
"PHB20161030",-4.3
"PHB20160926",13.5
"PHB20160829",5.3
"PHB20160719",4.2
"PHB20160615",5.8
"PHB20160502",2.8
"PHB20160407",-22
"PHB20160229",-4.7
"PHB20160201",-19.7
"PHB20151215",-9.1
"PHB20151115",-5.3
"PHB20151013",-20.2
"PHB20150819",-19.8
"PHB20150723",-14.7
"PHB20150630",-12
"PHB20150518",-13.7
"PHB20150330",-11.2
"PHB20150225",0.6
"PHB20150121",-7.8
"PHB20141208",-5.5
"PHB20141112",-10
"PHB20141021",-8
"PHB20140911",-7.6
"PHB20140824",-11.4
"PHB20140716",-3
"PHB20140612",-1.5
"PHB20140515",4.4
"PHB20140427",8.6
"PHB20140317",-13.3
"PHB20140211",-1.3
"PHB20140120",12.2
"PHB20131202",0.6
"PHB20131027",-1.9
"PHB20131020",-1.9
"PHB20130915",3.9
"PHB20130826",-0.5
"PHB20130725",8.1
"PHB20130611",13.9
"PHB20130514",8.4
"PHB20130422",0.3
"PHB20130319",10.5
"PHB20130227",-3.6
"PHB20130125",-1.1
"PHB20121218",-6
"PHB20121120",3.9
"PHB20121009",2.4
"PHB20120917",2.6
"PHB20120821",-5
"PHB20120717",-1.7
"PHB20120628",-10.4
"PHB20120517",-2.7
"PHB20120311",2.9
"PHB20120212",2.5
"PHB20111206",23
"PHB20111117",13.8
"PHB20111018",7.3
"PHB20110914",11.7
"PHB20110829",2.1
"PHB20110717",10.7
"PHB20110619",0.2
"PHB20110517",2.1
"PHB20110420",25.1
"PHB20110329",21.4
"PHB20110228",21.4
"PHB20110203",22.3
"PHB20101213",27.1
"PHB20101110",16.4
"PHB20101019",18.3
"PHB20101013",18.3
"PHB20100908",24.9
"PHB20100817",18.8
"PHB20100702",20.5
"PHB20100609",1.8
"PHB20100510",10
"PHB20100413",15.2
"PHB20100316",-10.6
"PHB20100218",-14.5
"PHB20100119",-10.1
"PHB20091206",-7
"PHB20091110",-6
"PHB20091018",-14.7
"PHB20091011",-14.7
"PHB20090924",3.9
"PHB20090920",3.9
"PHB20090819",-5
"PHB20090714",1.6
"PHB20090623",-2.3
"PHB20090518",-7.4
"PHB20090422",8.6
"PHB20090318",0.2
"PHB20090223",14.8
"PHA20191118",-9.93
"PHA20191028",-5.51
"PHA20190923",-12.46
"PHA20190827",-3.96
"PHA20190729",-6.15
"PHA20190626",-10.33
"PHA20190522",-9
"PHA20190522",-8.76
"PHA20190408",-1.3
"PHA20190227",-13.5
"PHA20190121",-0.6
"PHA20181218",9.3
"PHA20181120",-0.1
"PHA20180927",-10
"PHA20180905",-10
"PHA20180724",1.6
"PHA20180626",-5.5
"PHA20180326",10.5
"PHA20180221",-6
"PHA20180123",8.9
"PHA20171211",-1.4
"PHA20171024",9.1
"PHA20170921",6.9
"PHA20170821",3.3
"PHA20170716",8.1
"PHA20170517",0.5
"PHA20170321",5.1
"PHA20170205",-2.2
"PHA20161204",2.6
"PHA20161030",-4.3
"PHA20160926",13.5
"PHA20160829",5.3
"PHA20160719",4.2
"PHA20160615",5.8
"PHA20160502",2.8
"PHA20160407",-22
"PHA20160229",-4.7
"PHA20160201",-19.7
"PHA20151115",-5.3
"PHA20151013",-20.2
"PHA20150819",-19.8
"PHA20150723",-14.7
"PHA20150630",-12
"PHA20141021",-8
"PHA20140911",-7.6
"PH420090119",9.4
"PH420081202",13.3
"PH420081017",13.4
"PH420080924",13.5
"PH420080825",9.1
"PH420080805",9.1
"PH420080620",4.2
"PH420080529",-3.5
"PH420080430",4.5
"PH420080318",12.2
"PH420080219",21.3
"PH420080130",14.1
"PH420071128",9.2
"PH420071026",5.4
"PH420070924",1.4
"PH420070830",2.7
"PH420070723",-5
"PH420070703",-5
"PH420070516",-2.7
"PH420070418",-3
"PH420070319",-1.4
"PH420070219",-2.7
"PH420070115",-7.8
"PH420061213",-3.5
"PH420060724",-7.6
"PH420060614",-6.3
"PH420060224",0.1
"PH420060130",12.7
"PH420051208",0.1
"PH420051115",-2
"PH420050909",3.9
"PH420050817",-6.9
"PH420050706",0.9
"PH420050510",-14.5
"PH420050414",-11.2
"PH420050225",-28.6
"PH420050131",1.8
"PH420041222",-8
"PH420041116",-8.6
"PH420041027",-3.7
"PH420040914",-2.8
"PH420040823",-7.6
"PH420040725",-6.9
"PH420040625",-15.2
"PH420040524",13.1
"PH420040421",-15.4
"PH420040326",0.2
"PH420040211",9.1
"PH420040120",-11.6
"PH420031210",9.3
"PH420031114",-3.4
"PH420031027",-1.9
"PH420030911",-2.2
"PH420030818",-1.8
"PH420030721",2.9
"PH420030630",-12
"PH420030530",-7.4
"PH420030423",-5.5
"PH420030319",-6.8
"PH420030211",-7.4
"PH420030120",-2
"PH420021218",-10.6
"PH420021120",-6
"PH420021021",-7.4
"PH420020926",-8.2
"PH420020820",-14.6
"PH420020729",-7.6
"PH420020625",-6.3
"PH420020604",-6.3
"PH420020426",-3.8
"PH420020318",-5.2
"PH420020219",7.7
"PEI20110119",19.9
"PEI20101216",27.1
"PEI20101116",16.4
"PEI20101018",18.3
"PEI20100916",24.9
"PEI20100818",18.8
"PEI20100712",20.5
"PEI20100618",1.8
"PEI20100519",10
"PEI20100414",15.2
"PEI20100323",-10.6
"PEI20100215",-14.5
"PEI20100122",-10.1
"PEI20091216",-7
"PEI20091116",-6
"PEI20091022",-14.7
"PEI20090918",3.9
"PEI20090820",-5
"PEI20090720",1.6
"PEI20090618",-2.3
"PEI20090527",-7.4
"PEI20090416",8.6
"PEI20090318",0.2
"PEI20090218",14.8
"PEI20090114",9.4
"PEI20081217",13.3
"PEI20081119",17.1
"PEI20081030",13.4
"PEI20080929",13.5
"NWS_9.2",-7.8
"NWS_9.1",-7.8
"NWS_8.2",-7.8
"NWS_8.1",-7.8
"NWS_7.2",-7.8
"NWS_7.1",-7.8
"NWS_6.3",-7.8
"NWS_6.2",-7.8
"NWS_6.1",-7.8
"NWS_5.2",-7.8
"NWS_5.1",-7.8
"NWS_4.3",-7.8
"NWS_4.2",-7.8
"NWS_4.1",-7.8
"NWS_3.3",-7.8
"NWS_3.2",-7.8
"NWS_3.1",-7.8
"NWS_2.3",-7.8
"NWS_2.2",-7.8
"NWS_2.1",-7.8
"NWS_19.2",-7.8
"NWS_19.1",-7.8
"NWS_18.2",-7.8
"NWS_18.1",-7.8
"NWS_17.2",-7.8
"NWS_17.1",-7.8
"NWS_16.3",-7.8
"NWS_16.2",-7.8
"NWS_16.1",-7.8
"NWS_15.3",-7.8
"NWS_15.2",-7.8
"NWS_15.1",-7.8
"NWS_14.2",-7.8
"NWS_14.1",-7.8
"NWS_13.2",-7.8
"NWS_13.1",-7.8
"NWS_12.2",-7.8
"NWS_12.1",-7.8
"NWS_11.3",-7.8
"NWS_11.2",-7.8
"NWS_11.1",-7.8
"NWS_10.2",-7.8
"NWS_10.1",-7.8
"NWS_1.3",-7.8
"NWS_1.2",-7.8
"NWS_1.1",-7.8
"NSI20210226",11.61
"NSI20201221",17.52
"NSI20201116",9.14
"NSI20201022",4.18
"NSI20200917",9.96
